1,0.0013,83.1053,11.3,K,,
2,0.0161,86.6722,10.5,G,,
3,0.0244,85.3365,10.6,G,,
4,0.0291,83.2271,11.0,F,,
5,0.0299,83.8813,11.3,K,,
6,0.0347,80.2193,11.1,A,,
7,0.0381,80.6968,11.3,G,,
8,0.0410,87.0327, 8.0,F,,
9,0.0452,82.9731, 7.3,A,,
10,0.0463,80.2821, 8.1,F,,
11,0.0469,80.2865,10.4,A,,
12,0.0546,82.6564, 9.6,B,,
13,0.0549,80.4853,10.2,F,,
14,0.0582,80.7378,10.7,K,,
15,0.0623,86.3725,10.4,F,,
16,0.0683,85.2492,11.0,K,,
17,0.0725,84.4732,11.1,M,,
18,0.0784,82.8803,11.7,K,,
19,0.0786,83.6572,10.7,F,,
20,0.0944,82.3542,11.2,G,,
21,0.1031,87.8895,10.1,K,,
22,0.1089,85.6535,11.1,G,,
23,0.1149,82.6981,10.6,A,,
24,0.1185,85.4050, 8.7,A,,
25,0.1195,80.7296,10.6,G,,
28,0.1317,85.7623,11.1,K,,
29,0.1385,80.1670,10.9,F,,
30,0.1473,86.7879, 9.0,G,,
31,0.1579,80.4124,10.0,A,,
32,0.1648,80.4317,10.3,K,,
33,0.1679,86.0231, 9.9,F,,
34,0.1681,84.1521, 9.1,F,,
35,0.1744,82.7249,10.7,G,,
36,0.1862,83.0635,10.4,F,,
37,0.1987,80.2936,10.3,A,,
38,0.1988,81.9812,11.7,K,,
39,0.2074,83.1954,10.2,K,,
40,0.2085,84.5257,11.1,K,,
41,0.2153,84.9650,11.0,A,,
42,0.2166,82.0231,10.7,F,,
43,0.2191,84.0440, 9.7,F,,
44,0.2431,80.4820,10.2,G,,
45,0.2634,83.3910,10.7,K,,
46,0.2680,88.4012, 9.3,A,,
47,0.2683,83.3701, 9.4,F,,
48,0.2688,86.7260, 9.1,G,,
49,0.2750,86.6722,10.1,K,,
50,0.2785,87.4905,10.6,F,,
51,0.2812,81.6636, 9.6,K,,
52,0.2840,84.9549, 8.2,A,,
53,0.3001,83.9425,11.0,F,,
54,0.3004,80.2197, 9.7,K,,
55,0.3052,87.3563,11.0,K,,
56,0.3068,83.3675,10.1,K,,
57,0.3107,85.1875, 9.6,A,,
58,0.3216,81.4468, 9.8,F,,
59,0.3311,80.4744,10.2,K,,
60,0.3383,81.8055,10.4,F,,
61,0.3501,83.0296,11.2,F,,
62,0.3524,80.6932,10.1,F,,
63,0.3684,85.6677,12.0,K,,
64,0.3861,83.1456,11.1,F,,
